PlayerID,Name,Team,Position,Height,Weight,DOB,Age,YrsExp,CapHit
ABrewerARI,Aaron Brewer,ARI,LS,6-5,232,7/5/1990,34,13,"$1,152,500"
ABaccelliaARI,Andre Baccellia,ARI,WR,5-10,175,1/7/1997,27,2,"$985,000"
AChachereARI,Andre Chachere,ARI,DB,6-0,197,2/10/1996,28,4,"$1,055,000"
APleasantsARI,Austen Pleasants,ARI,OT,6-7,330,8/22/1997,26,1,"$795,000"
BOjulariARI,B.J. Ojulari,ARI,LB,6-2,248,4/5/2002,22,2,"$1,954,003"
BStilleARI,Ben Stille,ARI,DE,6-4,296,11/12/1997,26,2,"$985,000"
BSeikovitsARI,Bernhard Seikovits,ARI,TE,6-5,262,7/24/1997,26,1,"$795,000"
BNicholsARI,Bilal Nichols,ARI,DT,6-3,313,9/14/1996,27,7,"$5,005,000"
BGillikinARI,Blake Gillikin,ARI,P,6-2,196,1/21/1998,26,5,"$1,600,000"
BWhiteheartARI,Blake Whiteheart,ARI,TE,6-4,247,3/22/2000,24,2,"$915,000"
BPriceARI,Bobby Price,ARI,DB,6-3,208,4/25/1998,26,5,"$1,060,294"
BBakerARI,Budda Baker,ARI,SS,5-10,195,1/10/1996,28,8,"$19,025,000"
CThomasARI,Cameron Thomas,ARI,LB,6-4,267,7/1/2000,24,3,"$1,403,002"
CO'DonnellARI,Carter O'Donnell,ARI,OG,6-5,305,12/23/1998,25,3,"$915,000"
CMooreARI,Chris Moore,ARI,WR,6-1,200,6/16/1993,31,9,"$2,000,000"
CJonesARI,Christian Jones,ARI,OT,6-5,318,5/12/2000,24,R,"$872,614"
CTuneARI,Clayton Tune,ARI,QB,6-3,220,3/23/1999,25,2,"$1,002,656"
DTaylor-DemersonARI,Dadrion Taylor-Demerson,ARI,DB,5-11,195,1/20/2001,23,R,"$1,006,711"
DChisenaARI,Dan Chisena,ARI,WR,6-3,202,2/25/1997,27,3,"$1,055,000"
DAriasARI,Daniel Arias,ARI,WR,6-3,216,9/2/1998,25,1,"$795,000"
DStillsARI,Dante Stills,ARI,DT,6-4,286,12/14/1999,24,2,"$948,333"
DRobinsonARI,Darius Robinson,ARI,DL,6-5,296,9/13/2001,22,R,"$2,521,696"
DHallARI,Darren Hall,ARI,CB,6-0,190,5/2/2000,24,3,"$985,000"
DDallasARI,DeeJay Dallas,ARI,RB,5-10,214,9/16/1998,25,5,"$2,083,333"
DDaleyARI,Dennis Daley,ARI,OT,6-6,325,8/7/1996,27,6,"$1,775,000"
DGardeckARI,Dennis Gardeck,ARI,LB,6-0,232,8/9/1994,29,7,"$3,766,668"
DRidderARI,Desmond Ridder,ARI,QB,6-3,207,8/31/1999,24,3,"$1,192,542"
DWilsonARI,Divaad Wilson,ARI,CB,6-0,195,1/26/2000,24,1,"$915,000"
EHigginsARI,Elijah Higgins,ARI,TE,6-3,234,10/27/2000,23,2,"$915,000"
EJonesARI,Elijah Jones,ARI,CB,6-2,184,1/8/2000,24,R,"$1,033,730"
EWilkinsonARI,Elijah Wilkinson,ARI,OT,6-6,314,2/10/1995,29,8,"$1,825,000"
EDemercadoARI,Emari Demercado,ARI,RB,5-9,215,1/20/1999,25,2,"$920,000"
EBrownARI,Evan Brown,ARI,C,6-3,320,9/16/1996,27,6,"$2,335,000"
GWilliamsARI,Garrett Williams,ARI,CB,5-10,192,6/1/2001,23,2,"$1,280,666"
GDortchARI,Greg Dortch,ARI,WR,5-7,175,5/29/1998,26,4,"$985,000"
HFroholdtARI,Hjalte Froholdt,ARI,C,6-5,310,8/20/1996,27,6,"$3,785,000"
IAdamsARI,Isaiah Adams,ARI,OG,6-4,316,7/21/2000,23,R,"$1,086,323"
JBartonARI,Jackson Barton,ARI,OT,6-7,302,8/8/1995,28,5,"$985,000"
JDavisARI,Jaden Davis,ARI,DB,5-10,182,7/18/2001,22,R,"$823,024"
JThompsonARI,Jalen Thompson,ARI,DB,5-11,190,7/18/1998,25,6,"$12,467,750"
